stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
200001,,AV D/E 16 ST,,40.638424,-73.951909,,,,
200002,,AV D/E 16 ST,,40.638149,-73.952273,,,,
200003,,AV D/KINGS HWY,,40.636683,-73.953536,,,,
200004,,AV D/KINGS HWY,,40.636955,-73.953161,,,,
200005,,AV D/E 21 ST,,40.634120,-73.956798,,,,
200006,,AV D/E 21 ST,,40.634431,-73.956424,,,,
200007,,AV D/CONEY ISLAND AV,,40.631525,-73.960250,,,,
200008,,AV D/CONEY ISLAND AV,,40.631835,-73.959882,,,,
200009,,AV D/E 26 ST,,40.627635,-73.950153,,,,
200010,,AV D/E 26 ST,,40.627349,-73.950541,,,,
400001,,5 AV/W 139 ST,,40.817573,-73.939223,,,,
400002,,5 AV/W 138 ST,,40.816631,-73.940023,,,,
400003,,5 AV/W 135 ST,,40.814467,-73.941860,,,,
400004,,5 AV/W 132 ST,,40.811985,-73.943962,,,,
400005,,5 AV/W 129 ST,,40.809968,-73.945674,,,,
400006,,5 AV/W 128 ST,,40.809142,-73.946366,,,,
400007,,5 AV/W 125 ST,,40.807743,-73.947525,,,,
400008,,5 AV/W 124 ST,,40.806655,-73.948443,,,,
400009,,5 AV/W 120 ST,,40.804100,-73.950530,,,,
400010,,5 AV/W 117 ST,,40.801831,-73.952403,,,,
803001,,YORK AV/E 62 ST,,40.760778,-73.959451,,,,
803002,,YORK AV/E 63 ST,,40.761623,-73.958778,,,,
803003,,YORK AV/E 65 ST,,40.763073,-73.957633,,,,
803004,,YORK AV/E 67 ST,,40.764510,-73.956480,,,,
803005,,YORK AV/E 68 ST,,40.765383,-73.955743,,,,
803006,,YORK AV/E 70 ST,,40.766723,-73.954658,,,,
803007,,YORK AV/E 72 ST,,40.768153,-73.953503,,,,
803008,,YORK AV/E 73 ST,,40.768783,-73.952998,,,,
803009,,YORK AV/E 75 ST,,40.770213,-73.951843,,,,
803010,,YORK AV/E 77 ST,,40.771643,-73.950688,,,,
